stock,profit
600135,1140.3954705816723
600137,-288.3100047296157
600292,264.39741240337753
600490,602.3882251688865
600561,812.3195596318019
600800,-475.0306164293106
600903,1926.3923058753207
600992,2790.9347009020657
601956,736.6247126090093
603169,587.3074575458031
603701,1307.9643600629024
603978,1606.602381663146
688109,398.3646086527988
688219,807.8133915791968
000572,3799.226312996012
000676,570.9188943145
002112,1576.9439942506779
002322,1366.8612408916342
002363,4190.005984318985
002395,1261.6490278659912
002429,1824.754669668655
002471,1142.77544030613
002631,1127.4594265653504
300017,535.1480115726263
300252,363.83030716214853
300539,829.2674836642091
300545,1726.5368463602772
300625,162.11304134292914
300640,153.6959187709108
300691,3274.5247880338684
300865,-732.659150787922
300931,-39.41092178348845
300949,-679.0294176419411
