date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,profit
2021-12-01,sh.600082,2.76,2.81,2.72,2.81,2676200,7462865.0,3,0.4219,1,1.8116,65.246638,1.072129,2.474989,5.843291000000001,0,652.4614275537642
2021-12-01,sh.600135,7.56,7.77,7.53,7.71,5741000,44066305.0,3,1.3421,1,1.581,75.80167,1.634493,1.785451,-76.67635899999999,0,834.5435074745164
2021-12-01,sh.600353,5.66,5.78,5.65,5.77,5814784,33425040.16,3,1.0694,1,1.7637,78.915914,2.647026,3.379971,-34.104211,0,2523.000823085038
2021-12-01,sh.600469,4.28,4.37,4.25,4.36,2975887,12868339.88,3,0.5291,1,1.8692,65.664579,1.113415,0.558253,12.347566,0,900.2806586869448
2021-12-01,sh.600501,10.4,10.75,10.31,10.63,10127204,107352213.82,3,2.4039,1,0.9497,64.790785,2.057863,1.016605,-64.967838,0,3348.234994332301
2021-12-01,sh.600785,12.38,12.46,12.18,12.28,689521,8484424.62,3,0.3056,1,0.4088,80.581245,1.4077520000000001,0.474892,-9.610401,0,822.9093080243329
2021-12-01,sh.600795,2.53,2.6,2.51,2.59,98531764,251808902.87,3,0.5524,1,1.9685,75.819761,0.9988450000000001,0.351344,9.554396,0,1182.3994322680885
2021-12-01,sh.600841,13.64,14.3,13.63,14.0,12904505,180613507.0,3,2.4726,1,1.083,83.728509,3.1486099999999997,2.956274,-5.532797,0,-797.7249380037248
2021-12-01,sh.600992,8.18,8.37,8.1,8.31,6276400,51691489.7,3,2.5609,1,1.5892,66.178174,1.402883,0.856783,-19.558927,0,2929.2274312837294
2021-12-01,sh.601599,2.8,2.81,2.76,2.8,4737693,13210141.93,3,0.5307,1,0.7194,70.6037,2.714522,1.3003719999999999,8.433297,0,2125.8492149441227
2021-12-01,sh.605188,7.66,7.82,7.63,7.82,2233078,17302133.94,3,3.6984,1,1.8229,69.605869,3.4994669999999997,1.80482,17.065914000000003,0,577.2325377486995
2021-12-01,sh.688219,13.01,13.24,12.72,13.06,3164615,40649948.84,3,1.2387,1,0.6939,72.003488,3.557144,1.303743,22.106505,0,835.7083937535243
2021-12-01,sh.688509,6.8,6.9,6.64,6.82,16310070,110345094.25,3,10.6234,1,0.4418,64.231101,3.665744,3.0573330000000003,20.120223,0,225.2115812861994
2021-12-01,sz.002112,7.69,7.84,7.65,7.83,4171800,32473520.0,3,2.0985,1,2.086,81.803585,3.838168,1.461739,91.15844799999999,0,526.2601093346948
2021-12-01,sz.002132,6.77,7.06,6.69,6.91,44498355,306753597.29,3,3.5498,1,1.3196,67.643911,3.061272,2.656931,133.627942,0,-97.54491026148388
2021-12-01,sz.002170,7.91,8.06,7.82,8.03,36375888,289196214.6,3,5.2474,1,1.6456,78.308925,3.4877260000000003,3.047916,90.747569,0,-1571.5268520325574
2021-12-01,sz.002205,7.14,7.23,6.95,7.23,5161096,36810118.6,3,2.7771,1,1.2605,71.383651,1.605272,1.3169549999999999,-12.528896000000001,0,1063.6649602141024
2021-12-01,sz.002307,4.08,4.17,4.05,4.11,16500756,67415114.54,3,2.6227,1,0.7353,84.730231,1.431546,0.358369,-7.847207000000001,0,268.2506319509848
2021-12-01,sz.002330,6.18,6.27,6.04,6.24,5683659,34997794.52,3,1.1325,1,0.8078,72.4803,2.249389,0.909566,-53.428497,0,611.0337895030134
2021-12-01,sz.002635,16.62,17.36,16.57,17.14,19701418,337205069.05,3,5.6583,1,2.0846,85.58597900000001,2.072452,3.297822,36.847967,0,117.22081541544321
2021-12-01,sz.002910,10.81,10.9,10.74,10.88,2994592,32474958.04,3,1.7506,1,0.369,69.23999,1.561218,2.663125,-29.225715,0,784.0907444035437
2021-12-01,sh.600082,2.76,2.81,2.72,2.81,2676200,7462865.0,3,0.4219,1,1.8116,65.246638,1.072129,2.474989,5.843291000000001,0,652.4614275537642
2021-12-01,sh.600135,7.56,7.77,7.53,7.71,5741000,44066305.0,3,1.3421,1,1.581,75.80167,1.634493,1.785451,-76.67635899999999,0,834.5435074745164
2021-12-01,sh.600353,5.66,5.78,5.65,5.77,5814784,33425040.16,3,1.0694,1,1.7637,78.915914,2.647026,3.379971,-34.104211,0,2523.000823085038
2021-12-01,sh.600469,4.28,4.37,4.25,4.36,2975887,12868339.88,3,0.5291,1,1.8692,65.664579,1.113415,0.558253,12.347566,0,900.2806586869448
2021-12-01,sh.600501,10.4,10.75,10.31,10.63,10127204,107352213.82,3,2.4039,1,0.9497,64.790785,2.057863,1.016605,-64.967838,0,3348.234994332301
2021-12-01,sh.600785,12.38,12.46,12.18,12.28,689521,8484424.62,3,0.3056,1,0.4088,80.581245,1.4077520000000001,0.474892,-9.610401,0,822.9093080243329
2021-12-01,sh.600795,2.53,2.6,2.51,2.59,98531764,251808902.87,3,0.5524,1,1.9685,75.819761,0.9988450000000001,0.351344,9.554396,0,1182.3994322680885
2021-12-01,sh.600841,13.64,14.3,13.63,14.0,12904505,180613507.0,3,2.4726,1,1.083,83.728509,3.1486099999999997,2.956274,-5.532797,0,-797.7249380037248
2021-12-01,sh.600992,8.18,8.37,8.1,8.31,6276400,51691489.7,3,2.5609,1,1.5892,66.178174,1.402883,0.856783,-19.558927,0,2929.2274312837294
2021-12-01,sh.601599,2.8,2.81,2.76,2.8,4737693,13210141.93,3,0.5307,1,0.7194,70.6037,2.714522,1.3003719999999999,8.433297,0,2125.8492149441227
2021-12-01,sh.605188,7.66,7.82,7.63,7.82,2233078,17302133.94,3,3.6984,1,1.8229,69.605869,3.4994669999999997,1.80482,17.065914000000003,0,577.2325377486995
2021-12-01,sh.688219,13.01,13.24,12.72,13.06,3164615,40649948.84,3,1.2387,1,0.6939,72.003488,3.557144,1.303743,22.106505,0,835.7083937535243
2021-12-01,sh.688509,6.8,6.9,6.64,6.82,16310070,110345094.25,3,10.6234,1,0.4418,64.231101,3.665744,3.0573330000000003,20.120223,0,225.2115812861994
2021-12-01,sz.002112,7.69,7.84,7.65,7.83,4171800,32473520.0,3,2.0985,1,2.086,81.803585,3.838168,1.461739,91.15844799999999,0,526.2601093346948
2021-12-01,sz.002132,6.77,7.06,6.69,6.91,44498355,306753597.29,3,3.5498,1,1.3196,67.643911,3.061272,2.656931,133.627942,0,-97.54491026148388
2021-12-01,sz.002170,7.91,8.06,7.82,8.03,36375888,289196214.6,3,5.2474,1,1.6456,78.308925,3.4877260000000003,3.047916,90.747569,0,-1571.5268520325574
2021-12-01,sz.002205,7.14,7.23,6.95,7.23,5161096,36810118.6,3,2.7771,1,1.2605,71.383651,1.605272,1.3169549999999999,-12.528896000000001,0,1063.6649602141024
2021-12-01,sz.002307,4.08,4.17,4.05,4.11,16500756,67415114.54,3,2.6227,1,0.7353,84.730231,1.431546,0.358369,-7.847207000000001,0,268.2506319509848
2021-12-01,sz.002330,6.18,6.27,6.04,6.24,5683659,34997794.52,3,1.1325,1,0.8078,72.4803,2.249389,0.909566,-53.428497,0,611.0337895030134
2021-12-01,sz.002635,16.62,17.36,16.57,17.14,19701418,337205069.05,3,5.6583,1,2.0846,85.58597900000001,2.072452,3.297822,36.847967,0,117.22081541544321
2021-12-01,sz.002910,10.81,10.9,10.74,10.88,2994592,32474958.04,3,1.7506,1,0.369,69.23999,1.561218,2.663125,-29.225715,0,784.0907444035437
